Karl Marx,karl_marx
Heinrich Marx,heinr_marx
Ludwig von Westphalen,ludw_westph
"Jenny Marx, geb. von Westphalen",jenny_marx
Carl von Westphalen,carl_westph
Nikolaus Valdenaire,nik_vald
Viktor Josef Dewora,vik_jo_dew
Ludwig Gall,lud_gall
Johann Hugo Wyttenbach,joh_hug_wytt
Thomas Simon,thom_simon
Johannes Steininger,joh_steinin
Heinrich Rosbach,heinr_rosb
Johann Peter Wilhelm Stein,joh_pet_stein
Friedrich Anton Wyttenbach,fried_ant_wytt
Ludwig Simon,ludw_simon
Edgar von Westphalen,edg_westph
Viktor Valdenaire,vik_vald
Matthias Fischer,matth_fisch
Jean Augustin Messerich,joh_aug_mess
Johann Anton Ramboux,joh_ant_ramb
August Gustav Lasinsky,aug_gus_las
Johann Peter Job Hermes,joh_pet_herm
Wilhelm von Haw,willh_von_haw
Bruno Bauer,bruno_bauer
Eduard Gans,ed_gans
Friedrich Carl von Savigny,fried_carl_sav
Ludwig Feuerbach,ludw_feuerb
Friedrich Julius Stahl,fried_jul_stahl
Georg Wilhelm Friedrich Hegel,georg_hegel
August Wilhelm [von] Schlegel,aug_wil_schlegel
Friedrich Gottlieb Welcker,fried_gott_welck
Wilhelm Wolff,wilh_wolff
Wilhelm Pieper,wilh_piep
Wilhelm Liebknecht,wilh_lieb
Wilhelm Weitling,wilh_weit
David Urquhart,dav_urq
Gustav Struve,gus_stru
Victor Tedesco,vic_ted
Stephan Born,step_born
Sophie Presburg,soph_pres
Simon von Trier,sim_trier
Ruge Agnes Botham,rug_agn_bot
Roland Daniels,rol_dan
Proudhon,proudhon
Phillips Lion,phil_lion
Pawel Annenkov,paw_anne
Heinrich Bernhard Oppenheim,hein_bern_opp
Moses Hess,mos_hess
Eleanor Marx,ele_marx
Makhail Bakounine,mak_bak
"Louise Jutta, geb. Marx",loui_jutt
Charles Longuet,char_long
Lizzie Burns,liz_burn
Prosper Lisagaray,pros_lis
Friedrich Lessner,fried_less
Laura Marx,lau_marx
Ferdinand Lasalle,ferd_las
Paul Lafargue,paul_laf
Lajos Kossuth,laj_koss
Karl Schnapper,karl_schna
Karl Ludwig Bernays,karl_lud_bern
Karl Heinzen,karl_heinz
Karl Blind,karl_blind
Jan Carel Jutta,jan_car_jut
Josef Weydemeier,jos_wey
Jenny Longuet,jenny_long
Peter Imandt,peter_ima
Georg Herweg,geo_her
Henry Boernstein,hen_boer
Helene Demuth,hel_demu
Heinrich Heine,heinr_heine
Heinrich Buergers,heinr_buerg
Harro Harring,harr_harr
Giuseppe Mazzini,giu_mazz
German Mäurer,ger_mau
Georg Weerth,geo_weer
Friedrich Engels,fried_eng
Ferdinand von Westphalen,ferd_von_west
Ernst Dronke,ernst_dron
Ernest Charles Jones,ern_charl_jon
Emma Herwegh,emma_herw
Edgar Marx,edg_marx
Ferdinand Freiligrath Hasenclever,ferd_frei_has
Frederik Demuth,fred_dem
Adolf Cluss,adolf_cluss
Carl Ferdinand Julius Fröbel,carl_ferd_froeb
Edward Aveling,edwa_ave
Louis Blanc,louis_blanc
August Willich,august_will
Arnold Ruge,arnold_ruge
Andreas Gottschalk,and_gott
Carl Schurz,carl_schurz
Gottfried Kinkel,gott_kin
